,short_name,age,height_cm,weight_kg,nationality,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,pace,shooting,passing,dribbling,defending,physic,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
2,Neymar Jr,27,175,68,Brazil,92,Right,5,5,High/Medium,CAM,91.0,85.0,87.0,95.0,32.0,58.0,"Power Free-Kick, Injury Free, Selfish, Early Crosser, Speed Dribbler (CPU AI Only), Crowd Favourite",87,87,62,87,87,96,88,87,81,95,94,89,96,92,84,80,61,81,49,84,51,36,87,90,90,94,27,26,29,84+3,84+3,84+3,90+3,89+3,89+3,89+3,90+3,90+3,90+3,90+3,89+3,82+3,82+3,82+3,89+3,66+3,61+3,61+3,61+3,66+3,61+3,46+3,46+3,46+3,61+3
24,M. Reus,30,180,71,Germany,88,Right,4,4,High/Medium,CAM,85.0,88.0,84.0,87.0,45.0,66.0,"Power Free-Kick, Avoids Using Weaker Foot, Beat Offside Trap, Argues with Officials, Early Crosser, Finesse Shot, Speed Dribbler (CPU AI Only)",82,87,49,86,90,87,89,86,77,88,85,85,86,87,84,88,71,76,67,87,51,48,89,86,90,85,49,37,45,82+3,82+3,82+3,86+3,86+3,86+3,86+3,86+3,86+3,86+3,86+3,85+3,80+3,80+3,80+3,85+3,69+3,65+3,65+3,65+3,69+3,64+3,55+3,55+3,55+3,64+3
77,A. Gómez,31,165,68,Argentina,85,Right,4,4,High/Medium,CAM,89.0,78.0,81.0,86.0,39.0,55.0,"Argues with Officials, Crowd Favourite",81,79,38,81,72,85,79,79,74,85,94,85,92,81,94,76,70,70,46,79,56,40,82,85,72,84,50,30,34,75+3,75+3,75+3,83+3,82+3,82+3,82+3,83+3,83+3,83+3,83+3,82+3,76+3,76+3,76+3,82+3,64+3,60+3,60+3,60+3,64+3,60+3,48+3,48+3,48+3,60+3
80,H. Ziyech,26,181,65,Morocco,85,Left,2,4,High/Medium,RAM,80.0,75.0,86.0,83.0,50.0,66.0,"Selfish, Leadership, Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",84,73,53,86,74,83,90,78,89,83,83,77,86,84,78,80,37,84,58,77,73,52,82,89,67,77,44,56,40,76+3,76+3,76+3,82+3,81+3,81+3,81+3,82+3,83+3,83+3,83+3,83+3,81+3,81+3,81+3,83+3,69+3,69+3,69+3,69+3,69+3,66+3,57+3,57+3,57+3,66+3
109,D. Alli,23,188,80,England,84,Right,3,4,High/High,CAM,72.0,81.0,79.0,82.0,71.0,79.0,"Selfish, Crowd Favourite",68,82,83,84,79,83,75,68,80,86,68,76,75,86,62,78,71,89,72,80,84,74,88,83,74,87,70,70,63,81+3,81+3,81+3,80+3,82+3,82+3,82+3,80+3,82+3,82+3,82+3,81+3,82+3,82+3,82+3,81+3,76+3,78+3,78+3,78+3,76+3,75+3,74+3,74+3,74+3,75+3
123,M. Hamšík,31,183,73,Slovakia,84,Right,5,3,High/Medium,CAM,69.0,77.0,83.0,83.0,72.0,69.0,"Argues with Officials, Finesse Shot, Giant Throw-in",78,74,74,86,77,84,80,70,83,85,70,68,77,88,67,82,70,81,67,78,60,72,85,86,70,84,75,70,62,79+3,79+3,79+3,80+3,81+3,81+3,81+3,80+3,82+3,82+3,82+3,81+3,83+3,83+3,83+3,81+3,76+3,77+3,77+3,77+3,76+3,74+3,71+3,71+3,71+3,74+3
132,M. Özil,30,180,76,Germany,84,Left,2,4,Medium/Low,CAM,70.0,72.0,86.0,84.0,24.0,56.0,"Beat Offside Trap, Selfish, Finesse Shot",83,73,51,89,80,84,84,76,82,89,72,69,77,83,71,70,45,67,56,69,44,24,81,90,67,83,24,16,19,74+3,74+3,74+3,81+3,80+3,80+3,80+3,81+3,83+3,83+3,83+3,81+3,77+3,77+3,77+3,81+3,57+3,55+3,55+3,55+3,57+3,51+3,39+3,39+3,39+3,51+3
173,M. Kruse,31,180,76,Germany,83,Left,4,4,High/Medium,CAM,66.0,83.0,83.0,83.0,45.0,70.0,"Finesse Shot, Crowd Favourite",81,84,63,85,80,83,82,69,82,86,67,65,74,85,77,81,65,73,73,79,62,34,85,85,92,87,57,38,29,79+2,79+2,79+2,81+2,81+2,81+2,81+2,81+2,82+2,82+2,82+2,81+2,78+2,78+2,78+2,81+2,63+2,64+2,64+2,64+2,63+2,59+2,54+2,54+2,54+2,59+2
179,R. Nainggolan,31,176,77,Belgium,83,Right,3,3,High/High,CAM,72.0,79.0,78.0,83.0,83.0,82.0,Argues with Officials,73,75,59,84,75,83,73,68,81,84,72,72,75,85,83,84,75,89,76,86,88,86,84,76,63,84,83,86,90,78+3,78+3,78+3,79+3,80+3,80+3,80+3,79+3,81+3,81+3,81+3,80+3,82+3,82+3,82+3,80+3,83+3,84+3,84+3,84+3,83+3,82+3,81+3,81+3,81+3,82+3
187,G. Sigurðsson,29,186,77,Iceland,83,Right,4,3,High/High,CAM,56.0,81.0,84.0,80.0,57.0,69.0,"Diver, Beat Offside Trap, Argues with Officials, Finesse Shot",86,78,60,85,75,82,87,86,77,85,57,56,68,79,63,84,65,86,65,86,57,55,79,86,79,84,57,57,55,75+3,75+3,75+3,78+3,79+3,79+3,79+3,78+3,80+3,80+3,80+3,79+3,80+3,80+3,80+3,79+3,70+3,70+3,70+3,70+3,70+3,67+3,61+3,61+3,61+3,67+3
242,J. Lingard,26,175,62,England,82,Right,3,4,High/High,CAM,80.0,78.0,76.0,83.0,58.0,72.0,"Selfish, Argues with Officials, Speed Dribbler (CPU AI Only)",74,77,67,80,75,82,79,68,63,84,82,79,86,83,84,81,70,89,62,78,74,54,84,81,74,82,63,57,49,78+2,78+2,78+2,80+2,81+2,81+2,81+2,80+2,80+2,80+2,80+2,80+2,77+2,77+2,77+2,80+2,71+2,68+2,68+2,68+2,71+2,68+2,63+2,63+2,63+2,68+2
243,S. Bergwijn,21,178,78,Netherlands,82,Right,2,4,Medium/Medium,CAM,89.0,75.0,76.0,85.0,40.0,73.0,"Selfish, Early Crosser, Crowd Favourite",74,74,60,83,67,87,77,66,62,85,88,89,79,81,89,83,74,81,80,72,44,34,78,79,61,77,52,31,26,78+2,78+2,78+2,81+2,81+2,81+2,81+2,81+2,80+2,80+2,80+2,81+2,74+2,74+2,74+2,81+2,63+2,59+2,59+2,59+2,63+2,59+2,52+2,52+2,52+2,59+2
244,Marlos,31,174,69,Ukraine,82,Left,3,5,Medium/Medium,RAM,83.0,78.0,79.0,86.0,46.0,73.0,"Beat Offside Trap, Selfish, Crowd Favourite",76,79,53,81,68,87,82,72,73,88,85,82,85,77,84,77,68,78,76,78,58,51,77,82,80,84,45,44,42,77+2,77+2,77+2,82+2,81+2,81+2,81+2,82+2,82+2,82+2,82+2,81+2,77+2,77+2,77+2,81+2,67+2,65+2,65+2,65+2,67+2,63+2,56+2,56+2,56+2,63+2
245,Taison,31,172,64,Brazil,82,Right,3,4,Medium/Medium,LAM,92.0,79.0,75.0,86.0,47.0,69.0,"Avoids Using Weaker Foot, Early Crosser, Finesse Shot",73,76,56,77,82,87,52,73,75,85,93,91,90,79,83,83,62,85,67,83,56,49,74,79,72,82,38,53,40,77+2,77+2,77+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,81+2,76+2,76+2,76+2,81+2,67+2,64+2,64+2,64+2,67+2,64+2,55+2,55+2,55+2,64+2
256,Giuliano,29,172,68,Brazil,82,Right,3,4,High/Medium,CAM,81.0,77.0,79.0,83.0,46.0,75.0,"Finesse Shot, Crowd Favourite",77,77,59,82,65,82,67,71,80,84,85,77,85,81,85,78,61,82,74,76,72,42,81,80,79,82,49,43,38,77+2,77+2,77+2,80+2,80+2,80+2,80+2,80+2,81+2,81+2,81+2,80+2,77+2,77+2,77+2,80+2,66+2,65+2,65+2,65+2,66+2,62+2,56+2,56+2,56+2,62+2
280,Santi Cazorla,34,168,65,Spain,82,Right,5,4,High/Low,CAM,56.0,73.0,85.0,83.0,65.0,58.0,"Power Free-Kick, Avoids Using Weaker Foot, Selfish, Argues with Officials, Finesse Shot, Crowd Favourite",85,70,60,86,72,83,86,78,83,87,58,55,74,79,89,77,50,54,57,75,67,68,76,86,80,88,68,63,58,72+3,72+3,72+3,77+3,77+3,77+3,77+3,77+3,80+3,80+3,80+3,77+3,79+3,79+3,79+3,77+3,70+3,72+3,72+3,72+3,70+3,68+3,65+3,65+3,65+3,68+3
331,David Neres,22,175,66,Brazil,81,Left,3,5,Medium/Medium,LAM,87.0,73.0,73.0,87.0,36.0,65.0,"Selfish, Early Crosser, Speed Dribbler (CPU AI Only), Crowd Favourite",67,76,45,78,72,88,70,52,69,86,88,87,91,79,86,74,54,76,64,67,58,35,78,81,69,80,40,32,32,75+2,75+2,75+2,80+2,80+2,80+2,80+2,80+2,81+2,81+2,81+2,80+2,74+2,74+2,74+2,80+2,61+2,59+2,59+2,59+2,61+2,57+2,48+2,48+2,48+2,57+2
340,D. van de Beek,22,184,74,Netherlands,81,Right,3,3,High/High,CAM,71.0,78.0,77.0,79.0,71.0,79.0,"Selfish, Speed Dribbler (CPU AI Only)",67,77,66,83,78,78,77,62,75,84,67,74,72,82,68,82,70,89,77,78,74,74,85,81,55,85,71,72,67,78+2,78+2,78+2,78+2,79+2,79+2,79+2,78+2,80+2,80+2,80+2,78+2,80+2,80+2,80+2,78+2,75+2,77+2,77+2,77+2,75+2,74+2,73+2,73+2,73+2,74+2
