,short_name,age,height_cm,weight_kg,nationality,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,pace,shooting,passing,dribbling,defending,physic,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
5,J. Oblak,26,188,87,Slovenia,91,Right,3,1,Medium/Medium,GK,,,,,,,"Flair, Acrobatic Clearance",13,11,15,43,13,12,13,14,40,30,43,60,67,88,49,59,78,41,78,12,34,19,11,65,11,68,27,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,
9,M. ter Stegen,27,187,85,Germany,90,Right,4,1,Medium/Medium,GK,,,,,,,"Swerve Pass, Acrobatic Clearance, Flair Passes",18,14,11,61,14,21,18,12,63,30,38,50,37,86,43,66,79,35,78,10,43,22,11,70,25,70,25,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Alisson,26,191,91,Brazil,89,Right,3,1,Medium/Medium,GK,,,,,,,"Flair, Swerve Pass",17,13,19,45,20,27,19,18,44,30,56,47,40,88,37,64,52,32,78,14,27,11,13,66,23,65,15,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,
22,De Gea,28,192,82,Spain,89,Right,3,1,Medium/Medium,GK,,,,,,,"Flair, Second Wind, Flair Passes",17,13,21,50,13,18,21,19,47,38,57,58,63,87,43,61,67,43,60,12,38,30,12,65,29,68,25,21,13,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ederson,25,188,86,Brazil,88,Left,3,1,Medium/Medium,GK,,,,,,,"Leadership, Swerve Pass, Acrobatic Clearance",20,14,14,56,18,23,15,20,58,40,64,63,60,87,48,70,66,41,68,18,38,27,20,70,17,70,29,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,
36,T. Courtois,27,199,96,Belgium,88,Left,2,1,Medium/Medium,GK,,,,,,,"Flair, Acrobatic Clearance",14,14,13,33,12,13,19,20,35,23,46,52,61,83,45,54,68,38,70,17,23,15,13,44,27,66,20,18,16,,,,,,,,,,,,,,,,,,,,,,,,,,
37,S. Handanovi?,34,193,92,Slovenia,88,Right,2,1,Medium/Medium,GK,,,,,,,"Flair, Giant Throw-in",12,10,10,36,12,12,12,14,34,16,51,55,47,83,36,52,78,41,71,19,25,22,12,41,23,69,25,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,
38,M. Neuer,33,193,92,Germany,88,Right,4,1,Medium/Medium,GK,,,,,,,"Power Free-Kick, Flair, Swerve Pass, Acrobatic Clearance",15,13,25,55,11,30,14,11,59,46,54,60,51,84,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,
39,H. Lloris,32,188,82,France,88,Left,1,1,Medium/Medium,GK,,,,,,,"Swerve Pass, Acrobatic Clearance",13,10,10,50,11,10,11,10,50,34,65,62,55,86,54,51,74,41,43,14,31,27,10,30,40,65,29,10,18,,,,,,,,,,,,,,,,,,,,,,,,,,
72,W. Szcz?sny,29,195,90,Poland,86,Right,3,1,Medium/Medium,GK,,,,,,,Acrobatic Clearance,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,65,20,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,
