,short_name,age,height_cm,weight_kg,nationality,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,pace,shooting,passing,dribbling,defending,physic,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
4,K. De Bruyne,28,181,70,Belgium,91,Right,5,4,High/High,RCM,76.0,86.0,92.0,86.0,61.0,78.0,"Power Free-Kick, Avoids Using Weaker Foot, Dives Into Tackles (CPU AI Only), Leadership, Argues with Officials, Finesse Shot",93,82,55,92,82,86,85,83,91,91,77,76,78,91,76,91,63,89,74,90,76,61,88,94,79,91,68,58,51,82+3,82+3,82+3,87+3,87+3,87+3,87+3,87+3,88+3,88+3,88+3,88+3,87+3,87+3,87+3,88+3,77+3,77+3,77+3,77+3,77+3,73+3,66+3,66+3,66+3,73+3
7,L. Modri?,33,172,66,Croatia,90,Right,4,4,High/High,RCM,74.0,76.0,89.0,89.0,72.0,66.0,"Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",86,72,55,92,76,87,85,78,88,92,77,71,92,89,93,79,68,85,58,82,62,82,79,91,82,92,68,76,71,77+3,77+3,77+3,84+3,83+3,83+3,83+3,84+3,86+3,86+3,86+3,85+3,87+3,87+3,87+3,85+3,81+3,81+3,81+3,81+3,81+3,79+3,72+3,72+3,72+3,79+3
16,N. Kanté,28,168,72,France,89,Right,3,2,Medium/High,RCM,78.0,65.0,77.0,81.0,87.0,83.0,Diver,68,65,54,86,56,79,49,49,81,80,79,77,82,93,92,71,77,97,73,63,90,92,72,79,54,85,90,91,85,72+3,72+3,72+3,77+3,76+3,76+3,76+3,77+3,78+3,78+3,78+3,79+3,82+3,82+3,82+3,79+3,85+3,87+3,87+3,87+3,85+3,84+3,83+3,83+3,83+3,84+3
17,Sergio Busquets,30,189,76,Spain,89,Right,3,3,Medium/Medium,CDM,42.0,62.0,80.0,80.0,85.0,80.0,Giant Throw-in,62,67,68,89,44,80,66,68,82,88,40,43,67,87,49,61,66,86,77,54,85,89,77,86,60,93,90,86,80,70+3,70+3,70+3,73+3,75+3,75+3,75+3,73+3,78+3,78+3,78+3,75+3,83+3,83+3,83+3,75+3,78+3,86+3,86+3,86+3,78+3,78+3,82+3,82+3,82+3,78+3
30,P. Pogba,26,191,84,France,88,Right,4,5,High/Medium,LDM,74.0,81.0,86.0,85.0,66.0,86.0,"Selfish, Leadership, Argues with Officials, Finesse Shot, Crowd Favourite",80,75,75,86,84,87,85,82,90,90,67,79,75,82,66,90,82,87,89,82,78,64,83,88,83,87,63,67,65,81+3,81+3,81+3,82+3,83+3,83+3,83+3,82+3,84+3,84+3,84+3,83+3,84+3,84+3,84+3,83+3,76+3,77+3,77+3,77+3,76+3,74+3,72+3,72+3,72+3,74+3
31,David Silva,33,173,67,Spain,88,Left,2,4,High/Medium,LCM,65.0,74.0,88.0,89.0,52.0,57.0,"Beat Offside Trap, Selfish, Finesse Shot",84,72,54,92,82,87,82,77,84,92,69,61,87,89,88,72,64,73,48,73,57,50,88,91,75,92,59,53,29,76+3,76+3,76+3,83+3,83+3,83+3,83+3,83+3,85+3,85+3,85+3,83+3,83+3,83+3,83+3,83+3,68+3,69+3,69+3,69+3,68+3,63+3,56+3,56+3,56+3,63+3
32,T. Kroos,29,183,76,Germany,88,Right,5,3,Medium/Medium,LCM,45.0,80.0,90.0,81.0,70.0,69.0,"Argues with Officials, Finesse Shot, Crowd Favourite",88,75,58,91,82,80,86,84,92,89,50,41,60,87,71,87,30,74,73,86,60,76,75,89,73,88,72,70,62,75+3,75+3,75+3,78+3,79+3,79+3,79+3,78+3,81+3,81+3,81+3,79+3,85+3,85+3,85+3,79+3,75+3,79+3,79+3,79+3,75+3,72+3,69+3,69+3,69+3,72+3
45,Thiago,28,174,70,Spain,87,Right,3,5,Medium/Medium,CDM,69.0,74.0,85.0,90.0,69.0,63.0,"Power Free-Kick, Injury Prone, Selfish, Speed Dribbler (CPU AI Only), Crowd Favourite",78,69,54,90,86,90,85,77,87,91,76,64,91,86,88,76,76,75,59,79,56,83,79,86,75,87,67,67,71,75+3,75+3,75+3,82+3,81+3,81+3,81+3,82+3,84+3,84+3,84+3,82+3,84+3,84+3,84+3,82+3,78+3,78+3,78+3,78+3,78+3,75+3,69+3,69+3,69+3,75+3
47,Fernandinho,34,179,67,Brazil,87,Right,4,3,Medium/High,CDM,66.0,74.0,79.0,78.0,84.0,79.0,Argues with Officials,68,69,66,86,74,77,70,72,83,82,68,64,69,89,77,83,78,79,76,78,87,89,70,78,61,81,87,86,80,74+3,74+3,74+3,75+3,76+3,76+3,76+3,75+3,78+3,78+3,78+3,76+3,81+3,81+3,81+3,76+3,80+3,84+3,84+3,84+3,80+3,80+3,82+3,82+3,82+3,80+3
48,Casemiro,27,185,84,Brazil,87,Right,3,2,Medium/High,CDM,62.0,72.0,75.0,72.0,85.0,89.0,"Long Throw-in, Injury Prone, Argues with Officials",58,64,76,83,61,69,63,74,82,78,58,66,62,86,66,86,87,88,90,81,89,86,69,77,66,84,84,87,86,74+3,74+3,74+3,71+3,74+3,74+3,74+3,71+3,74+3,74+3,74+3,72+3,79+3,79+3,79+3,72+3,78+3,84+3,84+3,84+3,78+3,79+3,84+3,84+3,84+3,79+3
58,Coutinho,27,172,68,Brazil,86,Right,4,5,High/Medium,LCM,79.0,80.0,84.0,90.0,52.0,64.0,"Injury Free, Selfish, Argues with Officials, Crowd Favourite",79,77,48,84,78,90,90,86,82,91,84,75,92,82,93,82,59,76,61,88,59,49,84,86,70,77,55,54,47,78+3,78+3,78+3,84+3,83+3,83+3,83+3,84+3,85+3,85+3,85+3,83+3,81+3,81+3,81+3,83+3,70+3,68+3,68+3,68+3,70+3,66+3,58+3,58+3,58+3,66+3
64,I. Rakiti?,31,184,78,Croatia,86,Right,4,3,Medium/Medium,RCM,62.0,81.0,86.0,81.0,74.0,70.0,"Diver, Argues with Officials",84,78,59,86,84,80,88,82,90,87,64,61,73,80,62,84,34,79,71,85,67,79,77,85,82,80,76,73,72,76+3,76+3,76+3,79+3,79+3,79+3,79+3,79+3,81+3,81+3,81+3,80+3,83+3,83+3,83+3,80+3,77+3,79+3,79+3,79+3,77+3,75+3,72+3,72+3,72+3,75+3
65,M. Pjani?,29,178,72,Bosnia Herzegovina,86,Right,4,3,Medium/Medium,CDM,68.0,68.0,87.0,85.0,75.0,67.0,"Beat Offside Trap, Argues with Officials, Finesse Shot, Crowd Favourite",80,56,60,91,72,86,86,92,87,89,69,67,75,84,81,78,60,79,61,82,70,78,68,88,79,86,78,76,70,71+3,71+3,71+3,78+3,78+3,78+3,78+3,78+3,81+3,81+3,81+3,80+3,84+3,84+3,84+3,80+3,79+3,80+3,80+3,80+3,79+3,77+3,73+3,73+3,73+3,77+3
66,M. Verratti,26,165,60,Italy,86,Right,4,4,Medium/High,RCM,65.0,60.0,84.0,90.0,79.0,66.0,"Selfish, Finesse Shot",75,60,55,90,64,90,74,64,89,89,69,61,91,85,94,56,64,77,52,58,89,84,71,87,64,95,78,82,83,69+3,69+3,69+3,78+3,77+3,77+3,77+3,78+3,81+3,81+3,81+3,80+3,84+3,84+3,84+3,80+3,80+3,83+3,83+3,83+3,80+3,79+3,76+3,76+3,76+3,79+3
67,Parejo,30,182,74,Spain,86,Right,4,3,Medium/Medium,RCM,41.0,80.0,88.0,79.0,70.0,69.0,"Diver, Leadership, Finesse Shot",84,80,61,91,72,79,89,90,88,85,49,35,64,78,72,79,49,76,71,82,58,81,81,86,83,85,69,68,65,74+2,74+2,74+2,76+2,77+2,77+2,77+2,76+2,80+2,80+2,80+2,77+2,83+2,83+2,83+2,77+2,74+2,78+2,78+2,78+2,74+2,71+2,69+2,69+2,69+2,71+2
