,short_name,age,height_cm,weight_kg,nationality,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,pace,shooting,passing,dribbling,defending,physic,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
10,S. Agüero,31,173,70,Argentina,89,Right,4,4,High/Medium,ST,80.0,90.0,77.0,88.0,33.0,74.0,"Avoids Using Weaker Foot, Outside Foot Shot",70,93,78,83,85,88,83,73,64,89,82,78,84,92,91,89,81,79,74,84,65,24,93,83,83,90,30,29,24,87+3,87+3,87+3,85+3,87+3,87+3,87+3,85+3,85+3,85+3,85+3,83+3,77+3,77+3,77+3,83+3,60+3,58+3,58+3,58+3,60+3,56+3,50+3,50+3,50+3,56+3
13,L. Suárez,32,182,86,Uruguay,89,Right,4,3,High/Medium,ST,73.0,89.0,80.0,84.0,51.0,84.0,"Diver, Speed Dribbler (CPU AI Only)",78,91,83,82,90,85,86,82,72,84,76,70,79,92,79,88,69,82,86,86,87,41,92,82,83,85,57,45,38,86+5,86+5,86+5,83+5,85+5,85+5,85+5,83+5,84+5,84+5,84+5,82+5,79+5,79+5,79+5,82+5,67+5,67+5,67+5,67+5,67+5,64+5,63+5,63+5,63+5,64+5
14,R. Lewandowski,30,184,80,Poland,89,Right,4,4,High/Medium,ST,77.0,87.0,74.0,85.0,41.0,82.0,"Diver, Beat Offside Trap, Speed Dribbler (CPU AI Only), Outside Foot Shot",62,88,85,82,88,85,77,85,65,88,77,77,78,90,82,87,84,78,84,84,81,39,91,77,86,86,34,42,19,86+3,86+3,86+3,82+3,85+3,85+3,85+3,82+3,83+3,83+3,83+3,80+3,77+3,77+3,77+3,80+3,61+3,62+3,62+3,62+3,61+3,58+3,57+3,57+3,57+3,58+3
15,H. Kane,25,188,89,England,89,Right,4,3,High/High,ST,70.0,91.0,79.0,81.0,47.0,83.0,"Injury Free, Avoids Using Weaker Foot, Argues with Officials, Giant Throw-in",75,94,86,81,85,80,78,68,83,84,68,72,71,91,73,90,79,87,84,86,78,35,93,81,90,91,56,36,38,86+3,86+3,86+3,82+3,84+3,84+3,84+3,82+3,83+3,83+3,83+3,82+3,79+3,79+3,79+3,82+3,65+3,66+3,66+3,66+3,65+3,62+3,60+3,60+3,60+3,62+3
28,E. Cavani,32,185,77,Uruguay,88,Right,4,3,High/High,ST,75.0,86.0,72.0,79.0,55.0,83.0,Long Passer (CPU AI Only),70,88,89,78,90,79,77,76,52,81,74,76,74,91,59,88,88,91,79,79,84,54,93,77,85,80,57,48,39,85+3,85+3,85+3,80+3,83+3,83+3,83+3,80+3,80+3,80+3,80+3,79+3,75+3,75+3,75+3,79+3,68+3,66+3,66+3,66+3,68+3,66+3,65+3,65+3,65+3,66+3
41,L. Insigne,28,163,59,Italy,87,Right,4,4,High/Medium,LS,89.0,79.0,85.0,91.0,35.0,47.0,"Beat Offside Trap, Argues with Officials, Early Crosser",86,77,59,87,74,90,87,77,78,93,94,85,94,84,93,79,52,72,40,85,34,26,85,89,68,83,49,24,22,79+3,79+3,79+3,87+3,86+3,86+3,86+3,87+3,87+3,87+3,87+3,86+3,79+3,79+3,79+3,86+3,63+3,58+3,58+3,58+3,63+3,58+3,44+3,44+3,44+3,58+3
43,K. Benzema,31,185,81,France,87,Right,4,4,Medium/Low,CF,76.0,82.0,80.0,86.0,39.0,77.0,"Finesse Shot, Speed Dribbler (CPU AI Only), Giant Throw-in",75,84,83,85,83,86,81,73,72,90,78,74,78,85,69,82,77,79,80,76,65,39,88,86,82,87,47,24,18,83+3,83+3,83+3,83+3,84+3,84+3,84+3,83+3,84+3,84+3,84+3,82+3,78+3,78+3,78+3,82+3,62+3,62+3,62+3,62+3,62+3,58+3,54+3,54+3,54+3,58+3
55,Roberto Firmino,27,181,76,Brazil,86,Right,4,4,High/High,CF,77.0,82.0,80.0,87.0,61.0,78.0,"Selfish, Finesse Shot, Outside Foot Shot, Crowd Favourite",72,85,78,86,81,88,80,65,76,88,78,77,80,86,81,81,81,88,74,76,73,58,87,86,72,88,60,64,42,83+3,83+3,83+3,83+3,84+3,84+3,84+3,83+3,84+3,84+3,84+3,83+3,82+3,82+3,82+3,83+3,72+3,73+3,73+3,73+3,72+3,69+3,67+3,67+3,67+3,69+3
56,A. Lacazette,28,175,73,France,86,Right,4,4,High/High,ST,82.0,85.0,75.0,86.0,40.0,74.0,"Selfish, Speed Dribbler (CPU AI Only), Crowd Favourite",68,87,74,81,82,86,74,74,69,86,82,82,85,86,85,86,76,79,73,78,72,42,87,78,84,86,29,42,30,83+3,83+3,83+3,82+3,84+3,84+3,84+3,82+3,82+3,82+3,82+3,81+3,76+3,76+3,76+3,81+3,63+3,62+3,62+3,62+3,63+3,59+3,55+3,55+3,55+3,59+3
60,C. Immobile,29,185,85,Italy,86,Right,4,3,High/Medium,ST,80.0,85.0,63.0,81.0,39.0,76.0,Speed Dribbler (CPU AI Only),55,87,81,74,85,83,70,51,49,83,76,83,75,87,63,86,77,79,73,80,77,40,91,65,78,81,34,33,32,83+3,83+3,83+3,79+3,82+3,82+3,82+3,79+3,78+3,78+3,78+3,76+3,70+3,70+3,70+3,76+3,60+3,57+3,57+3,57+3,60+3,57+3,54+3,54+3,54+3,57+3
