,short_name,age,height_cm,weight_kg,nationality,ethnicity,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle
0,L. Messi,32,169.9,71.6,Argentina,Caucasian,94,Left,Excellent,Excellent,Medium/Low,CAM,87.85,94.61,70.1,91.7,88.09,-96.73,92.94,93.89,91.92,95.87,91.03,84.48,93.02,95,94.6,17,13,15,13,18,9,8,18,18,15,19,33.28,37.38,25.76
1,Cristiano Ronaldo,34,187,82.6,Portugal,Caucasian,93,Right,Excellent,Masterful,High/Low,LW,84.09,93.75,88.8,82.97,86.75,89.22,80.61,76.11,77.08,92.49,89.49,91.08,87.49,-95.61,70.71,19,19,17,15,18,12,5,19,16,17,19,28.01,31.64,23.75
2,Neymar Jr,27,174.8,67.5,Brazil,Black,92,Right,Masterful,Masterful,High/Medium,LW,87.24,-87.44,62.11,86.97,87.15,96.49,-87.6,86.89,80.9,95.27,94.26,89.27,95.55,92.01,83.74,16,12,16,9,16,10,7,17,18,18,18,26.81,25.55,29
3,E. Hazard,28,174.9,74.2,Belgium,Caucasian,91,Right,Excellent,Excellent,High/Medium,LW,81.43,83.74,60.65,88.54,83.07,95.14,83.14,79.18,82.61,93.9,-93.78,87.73,94.81,90.06,93.82,16,11,16,12,16,10,8,17,17,17,18,34.44,26.62,21.97
4,K. De Bruyne,28,180.7,69.8,Belgium,Caucasian,91,Right,Masterful,Excellent,High/High,RAM,93.31,82.38,54.99,91.55,81.65,85.53,84.92,82.92,90.66,91.5,76.63,75.56,78.19,91.31,76.31,18,12,17,14,18,15,12,17,18,15,18,68.08,57.65,51.15
5,,26,188,86.6,Slovenia,Caucasian,91,Right,Good,Poor,Medium/Medium,GK,13.12,11.39,14.56,42.81,13.29,12.37,13.15,13.63,40.12,30.34,42.53,60.03,67.43,88.09,48.52,11,15,8,15,2,6,3,2,13,2,13,26.56,12.37,17.97
6,M. Salah,27,174.9,71,Egypt,Middle-eastern,90,Left,Good,Excellent,High/Medium,RW,79.14,90.44,58.58,84.03,-79.06,88.64,82.97,68.72,75.47,89.07,94.21,91.87,-90.57,91.74,88.33,16,13,17,14,16,12,11,18,16,15,18,37.74,-43.29,41.38
7,L. Modri?,33,172.2,66.3,Croatia,Caucasian,90,Right,Excellent,Excellent,High/High,RCM,85.77,71.93,54.96,91.74,76.43,87.23,85.42,77.67,88.01,91.99,77.5,71.03,92.06,88.61,93.29,15,13,17,11,16,12,16,15,18,16,18,68.31,76,70.51
8,V. van Dijk,27,193.3,92.3,Netherlands,Caucasian,90,Right,Good,Average,,LCB,53.32,52.06,86.47,77.85,45.38,70.18,59.7,70.45,80.63,75.65,73.91,78.61,61.3,88,52.66,16,18,15,18,12,16,17,9,13,12,17,90.51,92.35,85.28
9,M. ter Stegen,27,187.4,85.3,Germany,Caucasian,90,Right,Excellent,Poor,Medium/Medium,GK,17.71,13.86,11.01,60.62,14.23,21.39,18.24,11.53,-62.84,29.74,37.93,50.07,37.17,86.3,42.75,13,15,7,15,2,8,4,2,14,5,14,25.26,13.19,10.43
10,S. Agüero,31,173.4,69.8,Argentina,Caucasian,89,Right,Excellent,Excellent,High/Medium,ST,70.35,93.36,77.7,83.32,85.5,87.88,83.24,-73.02,64.25,88.66,81.8,77.99,84.18,91.9,90.68,17,16,15,14,16,13,4,18,16,16,18,30.25,29.01,23.58
11,K. Mbappé,20,177.7,72.8,France,Black,89,Right,Excellent,Masterful,High/Low,ST,77.83,88.65,77.29,81.51,79.27,91.16,79.22,63.37,69.68,90.37,95.78,-95.53,92.21,88.88,83.01,16,15,16,15,15,12,7,17,16,14,16,33.66,33.63,31.73
