,index,short_name,age,height_cm,weight_kg,nationality,ethnicity,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_heading_accuracy,attacking_short_passing,skill_long_passing,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_jumping,power_stamina,power_strength,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle
0,0,V. van Dijk,27,193.3,92.3,Netherlands,Caucasian,90,Right,Good,Average,,LCB,86.47,77.85,80.63,73.91,78.61,61.3,88.0,52.66,18,15,18,16,17,9,13,17,90.51,92.35,85.28
1,1,Sergio Ramos,33,184.1,82.2,Spain,Caucasian,89,Right,Good,Good,High/Medium,LCB,82.92,80.3,82.86,73.57,70.97,77.9,86.56,65.73,18,16,17,18,17,13,14,16,86.96,87.13,89.68
2,2,K. Koulibaly,28,186.8,88.5,Senegal,Black,89,,Good,Average,Medium/High,LCB,82.67,71.02,62.74,69.28,72.51,51.59,86.33,57.04,16,14,19,17,17,7,10,16,91.25,90.24,87.26
3,3,G. Chiellini,34,187.0,84.9,Italy,Caucasian,89,Left,Good,Average,Medium/High,LCB,82.63,65.13,64.65,60.79,72.94,57.49,82.4,57.04,17,11,17,18,17,5,10,16,93.84,91.15,89.37
4,4,Piqué,32,193.9,84.5,Spain,Caucasian,88,Right,Good,Average,High/Medium,RCB,85.47,76.63,80.58,47.61,63.45,56.56,84.53,36.3,15,14,17,15,17,12,14,17,88.72,87.74,86.38
5,5,D. Godín,33,187.2,85.2,Uruguay,Caucasian,88,Right,Good,Average,Medium/High,CB,87.56,78.78,69.77,60.53,60.14,57.39,81.35,53.1,18,13,17,17,17,9,10,16,90.11,88.94,86.65
6,6,J. Vertonghen,32,188.6,85.6,Belgium,Caucasian,87,Left,Good,Good,High/High,LCB,80.49,78.6,85.02,59.58,64.64,60.28,85.49,59.51,17,15,15,16,17,11,13,16,88.51,86.53,88.43
7,7,M. Hummels,30,191.0,94.5,Germany,Caucasian,87,Right,Good,Good,High/Medium,LCB,86.8,80.71,85.02,46.09,55.44,64.44,87.14,59.05,13,13,17,14,17,11,15,17,90.31,88.51,86.37
8,8,Thiago Silva,34,183.0,81.7,Brazil,Caucasian,87,Right,Good,Average,Medium/High,LCB,81.39,80.18,79.71,60.05,71.63,67.1,82.37,67.1,18,14,16,15,18,11,14,17,87.67,87.76,85.38
9,9,T. Alderweireld,30,187.3,81.0,Belgium,Caucasian,87,Right,Good,Average,Medium/Medium,RCB,81.7,79.27,85.02,60.84,65.98,59.14,86.5,49.8,16,15,15,16,17,10,12,17,89.71,90.13,86.38
10,10,A. Laporte,25,188.7,84.9,France,Black,87,Left,Good,Average,Medium/Medium,LCB,85.71,76.63,80.01,61.41,65.77,59.27,87.23,59.88,15,15,17,15,17,10,13,17,87.52,89.31,88.43
11,11,S. Umtiti,25,182.2,75.3,France,Black,86,Left,Good,Average,,CB,79.23,79.98,72.53,65.54,71.63,61.79,82.08,66.26,17,14,17,16,17,10,11,16,86.96,87.98,84.55
12,12,Marquinhos,25,183.4,75.0,Brazil,Caucasian,86,Right,Good,Good,Medium/High,RCB,83.73,81.87,72.53,71.61,75.71,68.88,84.65,67.95,17,15,15,16,17,11,13,17,86.25,86.67,87.28
13,13,L. Bonucci,32,189.6,84.6,Italy,Caucasian,86,Right,Excellent,Average,Low/High,RCB,83.8,76.63,85.1,55.31,59.93,61.29,84.18,54.55,17,13,16,16,18,7,14,17,89.56,85.63,79.94
14,14,M. Škriniar,24,186.6,79.5,Slovakia,Caucasian,86,Right,Excellent,Average,Medium/High,LCB,82.05,73.04,68.82,69.87,72.51,48.23,83.37,51.23,15,15,17,17,17,6,11,16,91.95,86.91,83.0
15,15,M. de Ligt,19,189.4,89.2,Netherlands,Caucasian,85,Right,Excellent,Average,Medium/High,RCB,84.87,75.85,73.51,60.76,71.57,55.98,83.46,59.68,16,15,17,16,16,8,12,16,86.22,81.53,79.85
16,16,C. Lenglet,24,185.9,81.1,France,Caucasian,85,Left,Excellent,Average,Medium/High,LCB,79.39,81.35,75.13,77.44,73.67,62.4,83.55,59.8,17,15,16,16,17,10,13,16,86.25,82.67,81.04
17,17,R. Varane,26,191.3,81.2,France,Caucasian,85,,Good,Average,Medium/High,RCB,82.93,75.08,75.61,79.28,85.75,62.52,83.48,59.8,15,14,17,15,16,8,11,16,86.72,86.1,85.16
18,18,N. Süle,23,195.0,96.9,Germany,Caucasian,85,Right,Good,Average,Medium/Medium,RCB,86.13,78.44,68.9,53.48,86.99,34.25,80.56,33.39,8,13,18,16,16,5,8,15,85.28,89.1,86.87
19,19,J. Giménez,24,185.5,80.5,Uruguay,Caucasian,85,Right,Good,Average,Medium/High,RCB,80.99,68.71,62.12,66.89,69.63,53.93,81.82,38.55,17,12,17,17,17,4,5,15,87.97,86.04,86.23
20,20,K. Manolas,28,188.6,83.5,Greece,Middle-eastern,85,Right,Average,Average,Low/High,RCB,80.13,59.57,61.33,81.17,83.37,68.06,81.9,59.91,17,14,16,17,17,5,4,17,86.6,86.92,88.81
21,21,L. Hernández,23,181.6,75.6,France,Caucasian,84,Left,Good,Average,High/High,LCB,81.72,78.9,62.63,71.61,83.04,69.51,85.06,68.36,17,16,15,17,16,12,12,15,81.48,84.16,85.51
22,22,J. Boateng,30,192.4,90.3,Germany,Black,84,Right,Excellent,Average,Medium/Medium,CB,85.18,75.29,82.74,64.07,66.75,62.4,82.43,52.43,14,13,18,16,16,9,15,16,83.1,89.31,85.89
23,23,Sokratis,31,186.4,84.7,Greece,Middle-eastern,84,Right,Average,Average,Medium/High,RCB,84.82,65.29,54.3,65.7,76.41,54.23,80.57,63.97,17,13,17,17,15,9,9,16,85.21,86.49,85.5
24,24,Pepe,36,188.0,80.8,Portugal,Caucasian,84,Right,Good,Average,,RCB,82.31,70.57,61.42,63.61,69.66,63.23,81.82,48.01,17,16,16,18,16,8,9,15,85.66,85.12,81.94
25,25,S. de Vrij,27,188.9,78.1,Netherlands,Caucasian,84,Right,Excellent,Average,Medium/High,CB,80.24,72.6,68.55,64.73,66.07,61.92,80.58,59.2,15,12,15,15,17,6,12,16,88.45,86.61,83.89
26,26,Felipe,30,189.8,82.5,Brazil,Caucasian,84,Right,Good,Average,Medium/High,LCB,80.59,72.5,67.04,59.87,66.77,52.18,80.09,55.34,18,15,17,18,16,6,10,15,84.6,85.4,80.3
27,27,Bartra,28,184.1,72.7,Spain,Caucasian,83,Right,Good,Good,High/Medium,RCB,80.21,82.19,62.63,74.75,71.73,71.27,82.9,70.18,17,13,14,16,16,12,15,15,79.45,82.51,81.96
28,28,David Luiz,32,189.1,85.6,Brazil,Caucasian,83,Right,Good,Good,Medium/Medium,LCB,80.81,77.0,81.87,58.46,66.75,65.63,76.96,55.97,15,13,15,17,16,10,14,15,79.38,83.21,81.28
29,29,M. Akanji,23,186.8,91.2,Switzerland,Caucasian,83,Right,Good,Average,Medium/High,RCB,78.93,79.25,79.3,70.4,84.66,69.23,84.01,64.12,16,14,16,15,16,6,13,16,83.53,84.37,82.4
30,30,J. Stones,25,187.9,80.7,England,Caucasian,83,Right,Excellent,Good,High/Medium,CB,82.96,82.48,74.77,64.59,70.89,59.58,81.76,58.9,15,15,15,15,16,9,13,16,85.16,85.1,82.4
31,31,Miranda,34,186.4,78.2,Brazil,Black,83,Right,Good,Average,Medium/High,RCB,79.62,69.91,68.55,62.48,65.95,60.82,80.28,57.38,16,11,15,16,17,8,11,16,85.09,84.85,83.32
32,32,N. Otamendi,31,182.6,80.9,Argentina,Caucasian,83,Right,Good,Average,Medium/High,RCB,83.53,75.38,71.89,54.63,56.68,58.19,77.69,57.78,17,13,15,18,16,9,10,15,82.26,84.47,83.17
33,33,E. Garay,32,189.1,89.6,Argentina,Caucasian,83,Right,Good,Average,Medium/Medium,RCB,80.12,72.29,71.9,40.46,44.63,51.08,77.07,32.83,15,13,18,16,16,8,12,15,81.9,83.19,83.28
34,34,V. Kompany,33,190.2,85.4,Belgium,Black,83,Right,Good,Average,Medium/High,LCB,83.24,73.29,66.01,48.28,50.82,50.34,79.52,40.56,12,13,17,16,16,8,11,16,81.9,85.5,81.4
35,35,D. Sánchez,23,187.1,78.6,Colombia,Black,83,,Good,Average,Medium/High,CB,79.68,76.46,66.59,67.88,79.24,59.8,78.86,38.18,15,15,16,17,16,6,9,15,82.34,84.42,86.17
36,36,Josué Chiamulera,27,185.2,79.8,Brazil,Caucasian,83,Right,Good,Average,Medium/Medium,RCB,82.92,74.45,61.16,83.02,77.94,76.66,84.95,68.24,13,15,14,17,16,7,8,14,84.59,87.34,81.82
37,37,F. Acerbi,31,191.5,87.7,Italy,Caucasian,83,Left,Good,Good,Medium/Medium,CB,82.17,72.91,77.25,60.89,52.0,33.26,74.52,34.76,13,16,17,15,17,4,13,17,86.97,85.63,84.62
38,38,D. Djené,27,178.4,72.2,Togo,Black,83,Right,Excellent,Average,Medium/High,RCB,78.94,73.81,63.58,74.44,70.83,71.47,81.47,68.98,15,14,15,17,16,9,8,14,83.19,84.54,81.86
39,39,Raúl Albiol,33,190.3,82.4,Spain,Caucasian,83,Right,Good,Average,Low/High,RCB,77.23,74.43,72.33,54.63,45.65,53.11,82.3,55.5,15,9,16,16,17,6,11,15,88.7,87.07,84.58
40,40,A. Romagnoli,24,187.7,77.7,Italy,Caucasian,83,Left,Good,Average,Medium/High,LCB,76.64,72.22,70.77,59.6,66.22,59.63,78.26,53.21,15,14,16,17,17,6,9,15,87.79,85.71,81.76
41,41,,23,195.5,96.6,Germany,Caucasian,83,Right,Excellent,Average,Medium/Medium,RCB,79.62,74.96,68.64,64.31,77.07,47.54,81.39,38.18,14,12,18,15,16,5,12,15,82.66,87.42,84.15
42,42,H. Maguire,26,193.9,100.0,England,Black,82,Right,Good,Average,High/High,LCB,86.6,76.01,74.81,54.63,53.22,54.47,79.95,55.78,16,14,18,16,15,12,13,16,81.15,83.25,78.85
43,43,Juiano Mestres,35,181.3,82.2,Brazil,Caucasian,82,Right,Good,Average,High/Medium,RCB,82.57,67.08,57.74,68.14,73.55,60.67,78.44,62.69,18,15,15,17,16,11,10,14,77.05,84.92,83.66
44,44,,28,186.5,79.3,Brazil,Black,82,Right,Average,Average,Low/High,LCB,80.8,75.79,70.79,71.88,70.21,67.2,80.59,65.57,16,15,16,17,16,10,13,13,83.25,82.67,81.92
45,45,V. ?orluka,33,191.5,83.5,Croatia,Caucasian,82,Right,Good,Good,High/Medium,LCB,83.37,68.26,66.61,49.46,65.0,56.55,73.14,45.94,16,15,17,16,15,9,11,15,78.93,82.84,81.99
46,46,S. Kjær,30,191.0,83.9,Denmark,Caucasian,82,Right,Good,Average,Low/High,RCB,81.16,75.5,68.63,63.94,55.2,47.63,74.71,52.61,14,14,16,16,16,6,9,13,80.65,82.07,78.85
47,47,S. Coates,28,192.7,92.5,Uruguay,Caucasian,82,Right,Good,Average,Medium/Medium,RCB,79.74,69.96,74.18,44.09,63.12,32.12,74.52,31.48,10,15,18,16,16,9,12,14,83.69,85.02,84.86
48,48,V. Lindelöf,24,186.5,80.5,Sweden,Caucasian,81,Right,Excellent,Good,Medium/High,RCB,79.39,79.25,77.51,72.21,76.16,67.3,82.43,61.61,16,15,15,16,16,10,14,16,82.26,83.5,78.51
49,49,M. Ginter,25,190.9,88.7,Germany,Caucasian,81,Right,Good,Average,Medium/Medium,RCB,84.84,79.25,70.67,53.86,68.64,54.74,78.66,49.26,13,14,16,13,16,11,13,14,83.29,84.46,81.99
50,50,N. Nkoulou,29,184.4,76.7,,,81,Right,Good,Average,Medium/Medium,CB,77.47,72.43,69.63,70.29,69.78,66.08,78.48,73.53,16,12,15,15,16,10,12,15,82.05,82.64,78.34
