,index,short_name,age,height_cm,weight_kg,nationality,ethnicity,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_crossing,attacking_finishing,attacking_short_passing,skill_dribbling,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_stamina,power_strength,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,defending_marking,defending_standing_tackle,defending_sliding_tackle
0,0,Jordi Alba,30,169.5,67.6,Spain,Caucasian,87,Left,Good,Good,High/Medium,LB,86.91,72.92,84.45,80.97,79.17,84.66,91.15,89.9,84.13,85.41,85.24,18,12,16,16,15,11,73.59,79.64,84.07
1,1,J. Kimmich,24,175.5,72.9,Germany,Caucasian,86,Right,Excellent,Good,High/Low,RB,91.49,65.94,86.63,83.06,84.64,85.3,82.47,67.59,84.25,87.17,83.56,18,13,16,16,16,8,78.28,80.39,78.6
2,2,Marcelo,31,173.8,70.2,Brazil,Caucasian,85,Left,Excellent,Masterful,High/Low,LB,88.94,73.16,84.62,88.62,77.5,92.44,82.47,79.96,85.06,84.6,86.19,15,15,16,16,16,11,71.41,78.57,81.84
3,3,D. Alaba,27,179.6,78.2,Austria,Black,85,Left,Excellent,Good,Medium/Medium,LB,81.51,62.63,82.48,79.22,79.08,81.58,78.84,86.24,78.02,84.38,78.11,17,14,16,15,15,15,79.6,79.64,79.53
4,4,A. Robertson,25,178.5,63.7,Scotland,Caucasian,85,Left,Average,Good,High/High,LB,89.42,57.45,78.58,77.54,70.63,81.39,82.99,86.32,78.3,83.92,74.34,18,13,16,15,15,11,80.62,82.68,79.83
5,5,Alex Sandro,28,179.8,76.4,Brazil,Black,85,Left,Good,Good,High/Medium,LB,84.45,54.65,81.11,80.2,70.54,80.71,80.61,85.46,78.48,84.37,76.5,18,15,16,14,14,12,81.13,83.71,84.34
6,6,Carvajal,27,173.2,72.8,Spain,Caucasian,85,Right,Good,Good,High/High,RB,83.99,41.4,83.15,78.28,73.72,83.76,79.35,82.95,79.83,84.2,82.34,18,14,16,15,14,9,83.21,83.38,85.19
7,7,Alex Telles,26,180.5,71.1,,,84,Left,Average,Good,High/High,LB,89.0,64.85,84.3,81.78,86.69,83.39,84.34,84.56,72.63,82.57,69.61,18,13,16,15,15,16,80.23,80.63,78.92
8,8,João Cancelo,25,182.5,74.2,Portugal,Caucasian,84,Right,Good,Excellent,High/Medium,RB,86.15,57.78,81.33,84.77,74.53,84.11,89.31,89.97,81.62,84.42,79.31,18,12,15,15,15,9,80.62,80.4,79.99
9,9,K. Walker,29,182.7,70.0,England,Caucasian,84,Right,Average,Average,High/High,RB,81.38,50.92,78.37,79.11,74.69,77.51,87.1,94.45,65.95,84.37,69.62,17,15,16,13,13,12,78.04,83.89,83.31
10,10,Azpilicueta,29,177.7,76.0,Spain,Black,84,Right,Good,Average,Medium/Medium,RB,80.56,46.38,80.39,68.74,80.26,76.61,73.26,67.96,72.33,85.55,72.72,16,14,17,12,14,13,84.55,86.99,85.72
11,11,Grimaldo,23,171.3,69.4,Spain,Caucasian,83,Left,Average,Good,High/Medium,LB,83.74,49.88,80.67,84.09,79.14,83.37,85.81,83.63,84.2,84.42,85.95,18,12,16,15,13,10,75.47,77.67,78.75
12,12,L. Digne,25,177.6,73.7,France,Caucasian,83,Left,Good,Good,High/Medium,LB,85.47,41.4,81.17,78.28,73.05,82.78,78.7,78.29,68.53,83.46,78.45,17,13,16,14,14,12,77.9,82.72,83.67
13,13,T. Alexander-Arnold,20,180.0,69.3,England,Black,83,Right,Excellent,Good,High/Medium,RB,87.55,55.52,81.34,75.84,82.5,82.27,79.03,80.62,73.96,81.62,74.11,16,12,15,14,15,11,76.39,82.64,78.51
14,14,Jesús Navas,33,169.6,60.3,,,82,Right,Average,Excellent,High/Medium,RB,83.01,65.98,77.84,82.86,75.46,82.32,88.75,86.41,84.13,81.07,84.6,15,6,15,16,15,11,70.26,68.1,69.4
15,15,Ricardo Pereira,25,175.4,70.0,Portugal,Black,82,Right,Excellent,Good,High/High,RB,78.62,61.77,79.91,81.72,78.5,81.17,84.63,85.92,84.13,81.23,76.98,17,13,16,14,15,12,78.24,80.4,77.69
16,16,A. Kolarov,33,186.7,81.0,Serbia,Caucasian,82,Left,Good,Good,,LB,90.48,59.65,77.53,79.53,76.92,76.91,70.8,67.56,62.08,83.48,58.29,16,14,16,15,15,16,82.08,82.88,80.55
17,17,Nélson Semedo,25,176.7,67.3,Portugal,Black,82,Right,Good,Excellent,Medium/High,RB,75.92,50.07,76.49,79.96,64.85,79.54,91.07,91.86,87.51,82.47,81.85,18,13,16,14,12,7,77.49,80.75,79.9
18,18,N. Schulz,26,181.0,83.4,Germany,Caucasian,82,Left,Average,Good,High/Medium,LB,83.89,47.57,78.88,83.31,72.83,77.84,88.89,89.77,75.88,81.42,74.77,15,15,15,14,15,11,80.62,76.77,77.7
19,19,N. Tagliafico,26,172.4,64.8,Argentina,Caucasian,82,,Average,Good,High/High,LB,80.18,57.7,77.01,72.86,67.19,76.91,79.53,81.64,76.92,81.18,79.44,18,14,16,14,13,9,83.22,77.51,79.01
20,20,A. Florenzi,28,173.1,67.1,Italy,Caucasian,81,Right,Good,Excellent,High/Medium,RB,77.31,69.85,77.03,77.86,74.76,79.17,84.83,78.58,86.68,80.24,82.33,17,12,15,16,15,15,76.12,79.0,78.1
21,21,Gayà,24,171.9,66.2,Spain,Caucasian,81,Left,Good,Excellent,High/Medium,LB,79.78,61.29,81.2,78.61,75.13,81.06,83.01,86.86,82.5,81.55,80.01,16,12,15,14,15,10,78.24,80.01,82.2
22,22,L. Piszczek,34,184.3,79.2,Poland,Caucasian,81,Right,Excellent,Average,Medium/Medium,RB,81.55,64.39,76.61,72.15,72.05,76.31,74.48,78.91,66.01,78.01,65.52,15,15,16,14,14,13,82.28,82.62,77.57
23,23,L. Shaw,23,180.5,74.6,England,Caucasian,81,Left,Average,Good,High/Medium,LB,79.36,61.29,77.98,82.26,70.89,79.74,81.38,82.77,75.08,80.01,73.75,16,15,16,14,14,10,80.05,82.01,78.7
24,24,André Almeida,28,185.4,80.1,Portugal,Caucasian,81,Right,Good,Good,Medium/High,RB,82.97,58.24,80.21,75.1,75.05,79.05,65.56,68.72,65.99,78.01,60.2,17,16,15,14,14,8,83.28,84.43,79.51
25,25,D. Wass,30,174.6,74.4,Denmark,Caucasian,80,Right,Good,Good,Medium/Medium,RB,81.41,75.3,80.89,75.76,79.59,79.71,72.62,72.52,74.26,79.61,70.73,16,14,15,14,15,12,77.91,75.71,74.69
26,26,Ismaily,29,176.8,77.9,Brazil,Caucasian,80,Left,Average,Excellent,High/Medium,LB,80.46,59.53,80.62,82.59,67.08,80.6,83.7,80.48,72.26,80.56,81.5,17,15,15,16,14,10,76.75,73.64,74.87
27,27,Bernat,26,170.3,67.4,Spain,Caucasian,80,Left,Good,Excellent,High/Medium,LB,81.97,69.85,81.78,84.01,72.52,86.43,84.2,80.19,86.1,83.13,87.59,16,11,15,15,15,10,73.1,79.05,77.7
28,28,D. Rose,28,173.9,76.0,England,Black,80,Left,Good,Good,Medium/High,LB,80.32,56.73,76.95,79.79,65.72,80.12,78.28,75.7,73.99,82.0,79.44,15,14,16,13,14,11,81.19,82.87,82.7
29,29,Antunes,32,176.4,70.4,Portugal,Caucasian,80,Left,Good,Excellent,High/Medium,LB,81.26,56.21,77.17,74.43,65.72,79.53,73.38,76.35,70.51,77.84,72.37,16,13,16,14,13,12,71.54,80.6,81.76
30,30,F. Ghoulam,28,183.8,80.4,Algeria,Middle-eastern,80,Left,Excellent,Good,High/Medium,LB,84.96,54.33,79.22,79.39,73.6,80.0,69.2,78.52,70.7,78.94,62.43,17,13,15,13,13,15,79.27,81.0,79.85
31,31,R. Rodríguez,26,181.1,76.6,Switzerland,Caucasian,80,Left,Good,Good,Medium/Medium,LB,86.14,58.72,77.68,76.22,77.85,78.12,69.66,70.34,71.83,79.96,70.38,15,14,16,13,14,16,79.9,77.56,78.4
32,32,K. Trippier,28,173.4,70.7,England,Caucasian,80,Right,Excellent,Good,High/Medium,RB,85.96,47.84,72.29,73.8,78.35,79.75,74.59,74.13,72.5,77.36,73.64,17,12,15,14,16,13,74.92,82.1,78.4
33,33,Welington Dano,31,178.4,68.6,Brazil,Caucasian,80,Left,Excellent,Excellent,Medium/Medium,LB,82.33,50.9,77.99,76.98,70.62,77.51,78.03,79.95,82.58,79.85,81.28,17,13,15,14,15,12,81.19,77.41,81.42
34,34,M. Halstenberg,27,186.7,82.0,Germany,Caucasian,80,Left,Good,Good,High/Medium,LWB,80.09,59.4,77.27,70.98,63.26,75.11,69.2,70.46,65.31,79.15,61.27,16,15,15,12,12,14,81.29,82.41,75.55
35,35,P. Kade?ábek,27,182.4,80.9,Czech Republic,Caucasian,80,Right,Average,Good,High/High,RWB,86.12,27.64,76.82,75.52,78.35,76.81,76.35,78.43,65.99,81.91,66.47,17,15,14,14,13,10,71.75,79.12,76.97
36,36,Rubén Peña,27,169.5,64.5,Spain,Caucasian,79,Right,Good,Excellent,High/Low,RB,81.33,50.9,76.5,82.43,66.41,80.64,77.58,87.05,78.82,78.16,85.85,16,13,14,15,13,12,72.22,77.69,78.56
37,37,D. Caligiuri,31,182.1,79.8,Italy,Caucasian,79,Right,Excellent,Good,Medium/High,RB,81.64,71.95,76.68,80.29,70.26,79.63,73.99,73.7,74.81,76.95,67.25,17,14,15,14,15,16,70.12,74.22,68.49
38,38,S. Coleman,30,177.0,77.4,Republic of Ireland,Caucasian,79,Right,Good,Good,High/High,RB,78.72,63.3,77.93,76.5,69.45,78.14,75.26,73.31,72.66,78.45,74.1,15,13,15,14,14,11,77.95,81.75,80.33
39,39,Mariano,33,177.5,69.5,Brazil,Black,79,Right,Good,Good,High/Medium,RB,83.38,53.73,75.99,75.4,75.26,80.01,72.33,80.15,73.21,76.8,71.51,18,14,14,14,13,12,70.51,72.42,81.45
40,40,M. Debuchy,33,176.1,76.2,France,Caucasian,79,Right,Good,Good,High/Medium,RB,78.33,63.3,77.69,74.18,72.76,76.13,68.56,68.56,72.78,79.89,73.02,14,14,15,13,12,13,78.73,79.34,77.62
41,41,S. Aurier,26,176.2,75.7,Ivory Coast,Black,79,Right,Good,Good,High/Medium,RB,81.38,54.37,77.4,75.2,69.39,78.23,77.24,76.52,70.4,78.59,76.15,14,14,15,13,14,12,77.95,77.74,80.9
42,42,B. Davies,26,182.3,75.7,Wales,Caucasian,79,,Good,Good,Medium/High,LB,77.57,58.39,79.12,74.66,70.41,78.74,74.49,73.08,67.81,78.22,74.1,16,13,15,12,15,10,77.8,81.88,80.46
43,43,K. Lala,27,177.9,78.3,France,Black,79,Right,Good,Good,High/Medium,RWB,83.72,46.04,75.0,75.4,77.5,77.54,77.96,79.76,66.86,77.49,70.25,16,14,15,15,14,15,73.66,73.89,74.05
44,44,J. Hector,29,185.0,75.4,Germany,Caucasian,79,Left,Good,Good,Medium/Medium,LB,77.86,55.38,76.99,74.28,74.32,78.27,74.04,75.96,68.43,75.53,67.49,15,15,15,12,14,13,77.88,79.23,76.94
45,45,L. Dubois,24,177.6,72.5,France,Caucasian,79,Right,Excellent,Good,Medium/Medium,RB,81.63,52.64,79.18,74.06,77.38,76.98,72.33,75.7,69.98,75.53,71.65,15,14,15,14,13,9,78.49,79.86,81.87
46,46,D. Suárez,31,172.5,68.4,Uruguay,Black,79,Right,Good,Good,High/Medium,RB,80.75,59.13,78.33,71.02,72.31,73.05,74.4,76.52,90.26,76.02,75.59,15,14,15,11,12,13,77.84,77.41,80.71
47,47,Nacho Monreal,33,180.0,77.3,Spain,Middle-eastern,79,Left,Good,Good,,LB,76.11,55.48,76.8,72.54,60.69,77.0,64.62,61.48,70.15,82.07,71.67,13,12,16,13,13,12,80.09,83.03,81.07
48,48,Cote,29,181.9,76.9,Spain,Caucasian,79,Left,Good,Good,High/Low,LB,82.25,46.08,79.76,74.63,63.76,76.02,66.06,61.48,68.85,75.17,67.88,14,13,16,14,13,9,77.2,81.1,82.17
49,49,B. Chilwell,22,178.2,76.7,England,Black,79,Left,Good,Good,High/High,LB,77.38,42.76,73.18,77.51,68.64,78.94,78.97,78.26,70.15,75.87,71.92,17,13,15,13,12,10,76.11,77.81,81.29
50,50,Yuri Berchiche,29,179.8,79.9,Spain,Caucasian,79,Left,Good,Good,High/Medium,LB,79.39,56.23,77.49,71.73,71.79,76.72,78.25,81.96,72.87,75.15,74.59,15,15,15,10,10,11,77.88,76.66,78.25
51,51,L. Klostermann,23,189.2,83.4,Germany,Caucasian,79,Right,Good,Average,Medium/Medium,RWB,68.13,58.64,74.92,71.73,59.01,74.73,78.91,89.97,63.29,75.11,59.9,16,15,15,14,11,5,79.99,79.65,79.43
52,52,Jonny,25,169.7,69.6,Spain,Black,79,Right,Good,Excellent,High/High,LWB,76.76,47.56,74.97,74.6,61.27,76.89,76.3,78.41,72.33,75.87,78.78,16,11,15,13,13,9,76.73,79.11,80.04
53,53,A. Wan-Bissaka,21,182.9,72.2,England,Caucasian,79,Right,Average,Excellent,Medium/High,RB,68.25,44.26,69.65,80.36,55.94,75.13,76.3,87.85,83.78,75.45,70.93,15,13,16,13,12,11,81.2,82.92,86.32
54,54,Maikel Catarino,35,176.7,75.2,Brazil,Middle-eastern,79,Right,Good,Good,High/Medium,RB,80.59,48.17,72.64,77.76,74.92,77.27,83.09,76.15,82.03,80.87,75.19,17,12,15,11,12,8,78.59,77.68,76.16
55,55,T. Kehrer,22,186.4,75.8,Germany,Caucasian,79,Right,Masterful,Good,Medium/High,RB,63.69,36.82,72.29,65.11,65.98,68.78,72.99,74.8,68.88,75.92,65.44,15,14,15,10,11,8,75.27,80.52,80.24
56,56,F. Fabra,28,174.3,80.1,Colombia,Black,78,Left,Good,Good,High/Medium,LB,78.04,60.09,75.41,80.02,63.1,75.65,88.04,90.39,84.97,71.93,76.01,18,14,14,14,13,11,67.97,74.56,76.16
57,57,Coke,32,176.8,73.7,Spain,Black,78,Right,Excellent,Good,High/Medium,RB,79.26,65.59,77.47,72.42,68.37,78.66,75.19,73.64,69.05,79.77,69.15,15,13,15,13,12,14,79.19,77.18,75.9
58,58,Capa,27,175.1,75.0,Spain,Caucasian,78,Right,Good,Good,High/High,RB,76.68,56.32,73.47,75.77,55.91,76.12,79.13,84.41,72.13,73.14,84.55,18,15,14,15,14,10,70.68,78.27,80.01
59,59,K. Malcuit,27,178.2,77.0,France,Caucasian,78,Right,Good,Good,High/Medium,RB,78.61,66.07,76.92,79.75,71.79,75.67,82.97,90.39,78.44,73.56,76.26,15,14,14,13,13,11,73.67,77.22,76.92
60,60,M. Doherty,27,181.8,87.0,Republic of Ireland,Caucasian,78,Right,Excellent,Good,High/Medium,RWB,79.25,61.16,73.69,74.05,69.42,78.74,71.36,76.42,67.0,73.33,69.15,18,14,14,14,13,9,70.75,76.54,75.3
61,61,Ronaldo Esler,31,167.5,64.6,Brazil,Caucasian,78,Left,Good,Excellent,High/Medium,LB,78.22,56.32,76.15,75.56,59.19,73.56,87.77,86.2,85.84,79.68,89.78,15,6,15,13,13,9,74.71,77.17,76.22
62,62,J. Holebas,35,184.7,81.4,Greece,Middle-eastern,78,Left,Average,Good,High/Medium,LB,84.74,56.87,77.8,73.08,69.34,80.13,68.4,69.36,65.64,74.48,71.11,15,14,14,12,12,11,74.1,82.43,79.16
63,63,D. Dumfries,23,187.9,80.2,Netherlands,Black,78,Right,Good,Good,High/Medium,RB,75.58,45.87,71.63,71.02,64.56,73.96,76.75,81.61,67.85,75.47,53.25,18,17,14,13,11,8,75.21,78.14,75.14
64,64,H. Sakai,29,182.8,69.8,Japan,Asian,78,Right,Good,Average,High/High,RB,73.95,45.87,72.29,64.23,65.22,68.73,78.15,78.16,71.13,75.76,67.7,18,14,14,14,12,7,77.06,77.08,80.24
65,65,R. Bertrand,29,179.2,79.5,England,Caucasian,78,Left,Good,Good,High/Medium,LWB,79.68,49.64,75.89,76.88,70.46,77.85,75.24,76.11,90.26,76.02,68.68,14,13,15,12,10,10,72.76,77.68,79.54
66,66,Marcelo Goiano,31,176.1,69.5,Brazil,Caucasian,78,Right,Excellent,Good,Medium/High,RB,78.35,33.85,73.7,76.68,60.89,76.07,77.46,75.42,77.45,76.67,73.88,18,12,15,13,10,8,75.6,77.77,77.35
