,index,short_name,age,height_cm,weight_kg,nationality,ethnicity,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_short_passing,skill_dribbling,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle
0,0,L. Modri?,33,172.2,66.3,Croatia,Caucasian,90,Right,Excellent,Excellent,High/High,RCM,91.74,87.23,88.01,91.99,77.5,71.03,92.06,88.61,93.29,15,13,17,11,16,12,16,15,18,18,68.31,76.0,70.51
1,1,N. Kanté,28,167.6,71.9,France,Black,89,Right,Good,Average,Medium/High,RDM,86.25,78.53,80.71,79.66,78.54,76.84,81.96,93.44,92.18,14,15,19,14,12,18,18,14,15,17,90.21,91.04,85.21
2,2,Sergio Busquets,30,189.0,75.6,Spain,Caucasian,89,Right,Good,Good,Medium/Medium,CDM,89.18,80.16,82.3,87.74,40.01,42.51,67.02,86.97,49.35,12,13,17,15,10,17,17,15,17,18,90.29,85.83,80.02
3,3,P. Pogba,26,191.2,83.7,France,Black,88,Right,Excellent,Masterful,High/Medium,LCM,85.95,87.16,90.13,90.29,67.0,79.26,74.72,82.13,65.51,18,16,17,17,16,15,12,16,17,17,63.29,66.86,64.56
4,4,David Silva,33,172.5,66.9,Spain,Caucasian,88,Left,Average,Excellent,High/Medium,LCM,92.24,86.74,84.06,91.56,69.13,68.24,86.89,89.24,87.93,14,12,14,9,14,11,10,17,18,18,58.93,53.18,28.59
5,5,T. Kroos,29,181.6,76.1,Germany,Caucasian,88,Right,Masterful,Good,Medium/Medium,LCM,91.2,79.56,92.07,88.61,49.6,41.26,59.6,86.62,70.88,17,6,14,14,17,12,15,15,17,17,71.77,69.53,62.47
6,6,,28,174.2,70.0,Spain,Caucasian,87,Right,Good,Masterful,Medium/Medium,CDM,90.1,89.87,87.37,91.41,76.43,63.56,91.02,86.34,87.86,15,15,15,11,15,11,16,15,17,17,67.0,66.9,71.31
7,7,Fernandinho,34,178.8,67.4,Brazil,Black,87,Right,Excellent,Good,Medium/High,CDM,86.1,77.18,83.43,82.48,67.63,64.21,69.42,88.83,77.46,16,15,15,15,15,17,17,14,15,16,86.91,86.34,80.46
8,8,Casemiro,27,184.7,84.5,Brazil,Caucasian,87,Right,Good,Average,,CDM,82.61,69.16,82.5,78.49,58.03,66.14,62.41,85.85,66.07,17,17,17,18,16,17,17,13,15,16,84.37,86.6,86.06
9,9,I. Rakiti?,31,184.0,77.7,Croatia,Caucasian,86,Right,Excellent,Good,Medium/Medium,RCM,86.01,80.26,90.12,87.41,64.37,60.53,73.34,80.16,61.72,16,6,15,14,17,13,15,15,17,16,76.29,72.76,72.27
10,10,,29,177.9,72.2,Bosnia Herzegovina,Caucasian,86,Right,Excellent,Good,Medium/Medium,CDM,91.29,85.89,86.59,89.05,68.99,66.71,74.51,83.62,80.67,15,12,15,12,16,14,15,13,17,17,78.43,76.23,69.93
11,11,M. Verratti,26,164.8,60.2,Italy,Caucasian,86,Right,Excellent,Excellent,Medium/High,RCM,89.86,90.07,89.05,88.63,68.76,60.54,80.63,84.53,94.31,11,12,15,10,11,17,16,14,17,19,78.15,76.23,82.57
12,12,Parejo,30,182.4,73.8,Spain,Caucasian,86,Right,Excellent,Good,Medium/Medium,RCM,91.37,78.68,88.36,84.91,49.3,34.75,64.02,77.83,72.09,15,9,15,14,16,11,16,16,17,17,69.4,68.1,64.58
13,13,Bruno Fernandes,24,179.2,68.5,Portugal,Caucasian,85,Right,Excellent,Excellent,High/High,RCM,86.06,84.79,87.16,87.29,78.59,75.99,78.04,83.85,79.43,17,14,18,13,17,14,14,16,17,17,65.7,64.34,56.81
14,14,S. Milinkovi?-Savi?,24,191.3,76.1,Serbia,Caucasian,85,Right,Excellent,Excellent,High/Medium,RDM,84.72,85.6,85.24,87.05,65.64,67.27,65.14,80.16,59.09,16,17,17,17,16,14,15,15,17,16,74.65,76.78,71.65
15,15,Saúl,24,183.8,76.8,Spain,Caucasian,85,Left,Excellent,Good,High/High,LCM,84.51,80.75,83.39,84.63,65.64,70.04,72.58,82.39,69.25,16,15,17,15,16,13,15,16,16,16,76.93,78.06,77.49
16,16,,28,174.6,73.8,Brazil,Caucasian,85,Right,Good,Excellent,Medium/High,RCM,85.97,83.88,79.12,83.95,79.17,71.15,81.51,89.48,86.39,14,13,18,15,13,18,17,15,16,17,88.43,87.74,85.68
17,17,F. de Jong,22,180.0,73.7,Netherlands,Caucasian,85,Right,Good,Excellent,Medium/High,LCM,89.6,87.82,85.81,89.09,80.32,78.0,83.95,87.45,78.97,13,15,16,14,12,14,16,14,17,18,75.27,75.28,77.06
18,18,A. Witsel,30,186.2,81.3,Belgium,Caucasian,85,Right,Excellent,Excellent,Medium/High,LDM,89.07,77.96,83.39,84.26,67.15,76.7,75.59,85.03,66.86,15,15,16,16,14,15,16,15,16,18,82.4,84.78,82.67
19,19,Rodri,23,190.9,82.0,Spain,Caucasian,85,Right,Excellent,Good,Medium/High,CDM,85.39,75.67,81.89,82.27,67.55,76.7,69.16,81.63,71.82,14,13,16,16,15,15,16,15,16,17,82.07,83.69,77.96
20,20,Fabinho,25,188.1,78.3,Brazil,Black,85,Right,Average,Good,Medium/High,CDM,92.24,75.63,81.78,82.22,66.84,68.87,65.76,83.86,65.56,15,15,17,16,13,17,17,14,15,16,83.68,85.5,82.67
21,21,B. Matuidi,32,179.9,75.0,France,Black,85,Left,Average,Average,Medium/High,CDM,83.18,75.83,77.02,78.86,76.84,73.21,82.83,83.9,78.73,15,16,18,14,13,17,17,14,14,16,84.7,83.78,85.86
22,22,Paulinho,30,182.9,80.5,Brazil,Black,84,Right,Good,Excellent,High/High,LCM,83.38,80.75,79.75,84.13,73.6,71.48,70.23,81.65,71.6,16,18,18,16,16,16,16,16,15,16,75.37,79.33,75.25
23,23,L. Goretzka,24,189.2,78.6,Germany,Caucasian,84,Right,Excellent,Good,High/Medium,CDM,84.4,80.77,78.96,84.17,83.75,78.28,75.85,83.59,69.75,15,14,17,15,16,16,15,15,16,16,71.53,74.47,73.03
