,index,short_name,age,height_cm,weight_kg,nationality,ethnicity,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_penalties,mentality_composure
0,0,S. Agüero,31,173.4,69.8,Argentina,Caucasian,89,Right,Excellent,Excellent,High/Medium,ST,93.36,77.7,83.32,85.5,87.88,83.24,85.35,88.66,81.8,77.99,84.18,91.9,90.68,17,16,15,14,16,16,18
1,1,K. Mbappé,20,177.7,72.8,France,Black,89,Right,Excellent,Masterful,High/Low,ST,88.65,77.29,81.51,79.27,91.16,79.22,63.37,90.37,95.78,81.9,92.21,88.88,83.01,16,15,16,15,15,14,16
2,2,L. Suárez,32,181.5,86.1,Uruguay,Caucasian,89,Right,Excellent,Good,High/Medium,ST,90.75,83.03,81.89,89.62,85.43,86.03,81.83,83.74,75.91,70.08,79.36,91.58,78.94,17,13,16,17,17,16,17
3,3,R. Lewandowski,30,184.3,78.1,Poland,Caucasian,89,Right,Excellent,Excellent,High/Medium,ST,87.52,84.86,81.89,87.57,85.33,76.56,85.35,88.31,77.36,76.86,77.58,90.25,81.84,17,16,15,16,16,17,17
4,4,H. Kane,25,188.2,89.4,England,Caucasian,89,Right,Excellent,Good,High/High,ST,93.82,86.38,81.26,85.44,80.24,77.63,68.49,83.93,68.28,72.05,71.35,91.14,73.07,18,15,17,16,17,18,18
5,5,E. Cavani,32,184.5,77.5,Uruguay,Caucasian,88,Right,Excellent,Good,,ST,87.89,89.09,77.87,90.42,79.18,77.03,76.25,80.93,74.26,75.94,74.12,90.52,58.84,17,17,18,15,15,17,16
6,6,L. Insigne,28,163.1,59.1,Italy,Caucasian,87,Right,Excellent,Excellent,High/Medium,LS,77.33,59.29,87.4,73.85,89.59,87.02,77.38,93.48,94.26,85.31,94.41,85.86,92.91,15,10,14,8,17,13,16
7,7,D. Mertens,32,168.6,61.1,Belgium,Caucasian,87,Right,Excellent,Excellent,High/Low,ST,77.94,40.1,82.21,69.82,90.86,87.02,79.33,88.5,92.58,83.04,93.6,88.09,91.83,16,11,14,7,16,15,16
8,8,K. Benzema,31,185.0,81.0,France,Black,87,Right,Excellent,Excellent,Medium/Low,CF,83.86,82.55,84.51,82.74,86.33,81.47,73.42,90.32,80.07,74.28,77.7,85.47,69.09,16,15,15,16,15,16,17
9,9,Roberto Firmino,27,181.4,75.6,Brazil,Caucasian,86,Right,Excellent,Excellent,High/High,CF,84.52,77.56,85.68,80.99,88.1,80.14,64.81,88.34,77.73,77.3,80.35,85.73,80.61,16,16,17,14,15,14,17
10,10,A. Lacazette,28,175.1,73.3,France,Black,86,Right,Excellent,Excellent,High/High,ST,87.24,74.04,80.89,82.34,86.04,73.8,74.11,85.95,82.3,81.9,85.11,85.86,85.33,17,15,15,14,15,16,17
11,11,C. Immobile,29,184.5,85.1,Italy,Caucasian,86,Right,Excellent,Good,High/Medium,ST,86.99,80.82,73.65,85.26,88.1,70.38,50.82,82.84,76.27,83.12,75.41,86.74,63.25,17,15,15,14,16,15,16
12,12,Iago Aspas,31,176.4,67.4,Spain,Caucasian,85,Left,Good,Good,High/High,RS,87.61,78.21,79.36,83.19,86.46,80.02,76.07,85.13,80.07,75.99,86.52,85.29,71.62,15,13,14,12,16,16,17
13,13,G. Higuaín,31,185.6,89.2,Argentina,Caucasian,85,Right,Excellent,Good,High/Medium,ST,88.33,86.38,74.54,88.38,79.75,73.95,61.73,83.55,61.72,64.29,71.86,85.88,68.88,17,15,12,16,16,14,17
14,14,Z. Ibrahimovi?,37,194.6,95.1,Sweden,Caucasian,85,Right,Excellent,Masterful,Medium/Low,ST,87.35,82.55,76.75,87.86,76.64,77.03,78.26,84.03,57.17,55.22,71.84,81.99,38.98,18,13,11,17,17,17,18
15,15,M. Icardi,26,180.8,74.5,Argentina,Caucasian,85,Right,Excellent,Good,Medium/Low,CF,88.82,88.49,73.28,81.63,75.15,58.23,45.19,80.11,76.45,74.75,75.41,85.32,75.55,16,18,13,14,14,16,15
16,16,R. Lukaku,26,190.3,93.6,Belgium,Black,85,Left,Excellent,Good,,LS,83.98,85.07,74.75,76.93,78.03,77.52,66.21,70.43,63.65,84.38,54.51,83.82,45.85,17,14,15,19,14,15,16
17,17,J. Ili?i?,31,190.0,79.3,Slovenia,Caucasian,84,Left,Excellent,Excellent,,RS,80.71,58.04,86.23,80.05,87.72,85.1,84.82,87.5,72.35,69.01,70.52,82.76,60.59,17,6,14,14,17,15,16
18,18,D. Tadi?,30,177.2,76.5,Serbia,Caucasian,84,Left,Good,Excellent,Medium/Medium,ST,83.16,66.36,84.72,79.05,85.29,85.3,76.21,87.56,67.97,67.55,78.59,84.45,83.88,15,12,17,14,14,16,17
19,19,E. Džeko,33,193.2,80.4,Bosnia Herzegovina,Caucasian,84,Right,Masterful,Average,Medium/Medium,ST,88.26,82.86,77.34,77.19,75.7,65.17,78.26,84.75,60.52,59.58,55.64,83.46,35.52,17,12,14,16,15,13,16
20,20,M. Mandžuki?,33,189.9,85.4,Croatia,Caucasian,84,Right,Good,Good,High/High,ST,84.94,89.51,74.54,86.38,75.74,64.46,48.82,78.95,60.7,72.66,64.91,87.7,55.07,16,17,16,17,12,15,16
21,21,W. Ben Yedder,28,170.2,68.3,France,Caucasian,83,Right,Masterful,Excellent,High/High,RS,88.38,74.02,79.59,83.48,85.19,79.93,75.77,84.38,88.06,80.67,90.23,82.72,89.14,16,15,13,11,13,15,16
22,22,A. Martial,23,183.7,75.9,France,Black,83,Right,Good,Excellent,Medium/Low,ST,82.19,76.83,78.12,73.63,87.13,84.44,53.78,86.29,87.95,88.97,83.74,80.4,79.15,16,14,15,14,15,16,15
23,23,M. Rashford,21,186.0,70.2,England,Black,83,Right,Good,Masterful,High/High,ST,81.44,71.56,75.15,76.41,85.48,81.53,76.16,82.65,89.02,94.27,85.68,82.72,74.63,17,14,17,15,15,15,15
24,24,T. Werner,23,180.2,75.3,Germany,Caucasian,83,Right,Excellent,Good,High/Medium,LS,85.52,76.83,77.47,83.7,82.97,62.98,55.88,84.03,93.43,92.04,81.02,85.56,75.6,15,14,16,13,14,14,14
25,25,F. Quagliarella,36,179.6,79.4,Italy,Caucasian,83,Right,Excellent,Excellent,Medium/Medium,ST,89.19,69.44,79.41,87.65,79.14,78.41,77.67,84.48,69.58,67.71,70.81,83.56,76.22,18,13,13,14,17,17,16
26,26,Rodrigo,28,182.2,76.7,Spain,Black,83,Left,Good,Excellent,High/Medium,LS,79.83,79.91,79.51,76.56,82.34,82.87,53.78,82.03,88.19,90.7,81.07,81.99,73.7,16,15,14,14,15,15,16
27,27,A. Kramari?,28,177.4,73.2,Croatia,Caucasian,83,Right,Excellent,Excellent,Medium/Medium,LS,85.61,68.51,79.12,85.24,86.35,78.59,74.37,85.29,75.73,69.51,83.08,83.11,83.43,16,13,15,13,17,18,16
28,28,Morata,26,189.3,83.8,Spain,Caucasian,83,Right,Excellent,Good,High/High,LS,80.54,79.91,77.81,79.73,82.82,76.34,44.25,82.43,75.41,85.06,66.45,80.08,57.75,16,16,14,15,14,14,15
29,29,Paco Alcácer,25,174.7,72.0,Spain,Black,83,Right,Excellent,Good,Medium/Low,ST,86.24,78.19,79.14,84.54,77.86,85.1,84.87,81.56,81.01,78.15,83.99,82.46,84.44,16,13,13,12,16,14,16
30,30,W. Zaha,26,180.2,66.0,Ivory Coast,Black,83,Right,Good,Masterful,High/Low,LS,77.94,47.37,74.97,63.78,89.74,56.9,51.46,86.6,88.3,92.61,86.75,77.19,81.16,16,11,15,14,14,13,16
31,31,Falcao,33,176.8,72.4,Colombia,Caucasian,83,Right,Excellent,Good,High/Medium,LS,86.01,89.49,77.97,82.83,73.88,80.88,83.78,80.97,66.42,64.43,74.75,81.83,74.87,15,18,13,14,15,16,17
32,32,S. Haller,25,190.2,82.0,France,Black,83,Right,Average,Good,High/Medium,ST,85.07,85.54,75.63,81.68,75.8,56.58,46.35,79.99,68.4,72.66,67.95,84.3,52.87,16,16,14,17,13,18,16
33,33,Borja Iglesias,26,190.9,85.8,Spain,Middle-eastern,83,Right,Good,Good,High/Medium,ST,85.7,81.97,71.04,70.86,77.39,40.89,36.08,80.18,64.94,69.41,64.31,77.94,71.7,16,14,15,18,16,15,16
34,34,A. Milik,25,186.3,78.1,Poland,Caucasian,83,Left,Good,Excellent,Medium/Medium,RS,87.96,80.38,66.03,78.26,76.37,74.08,83.78,81.15,67.0,70.73,67.48,76.56,63.05,17,12,14,16,16,15,15
