,index,short_name,age,height_cm,weight_kg,nationality,ethnicity,overall,preferred_foot,weak_foot,skill_moves,work_rate,team_position,attacking_crossing,attacking_finishing,attacking_short_passing,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure
0,0,Cristiano Ronaldo,34,187.0,82.6,Portugal,Caucasian,93,Right,Excellent,Masterful,High/Low,LW,84.09,93.75,82.97,89.22,80.61,76.11,77.08,92.49,89.49,91.08,87.49,81.08,70.71,17,15,18,12,5,19,16,17,19
1,1,Neymar Jr,27,174.8,67.5,Brazil,Black,92,Right,Masterful,Masterful,High/Medium,LW,87.24,71.58,86.97,96.49,83.08,86.89,80.9,95.27,94.26,89.27,95.55,92.01,83.74,16,9,16,10,7,17,18,18,18
2,2,E. Hazard,28,174.9,74.2,Belgium,Caucasian,91,Right,Excellent,Excellent,High/Medium,LW,81.43,83.74,88.54,95.14,83.14,79.18,82.61,93.9,85.16,87.73,94.81,90.06,93.82,16,12,16,10,8,17,17,17,18
3,3,M. Salah,27,174.9,71.0,Egypt,Middle-eastern,90,Left,Good,Excellent,High/Medium,RW,79.14,90.44,84.03,88.64,82.97,68.72,75.47,89.07,94.21,91.87,94.81,91.74,88.33,17,14,16,12,11,18,16,15,18
4,4,S. Mané,27,175.2,68.8,Senegal,Black,88,Right,Excellent,Excellent,High/Medium,LW,74.22,87.21,81.16,89.03,76.14,64.11,71.27,86.87,94.21,92.94,92.24,90.08,86.42,17,13,15,15,7,18,16,14,16
5,5,R. Sterling,24,169.8,68.6,England,Black,88,Right,Good,Excellent,High/Medium,LW,78.5,82.63,84.45,89.38,75.07,62.87,68.58,88.42,96.09,90.68,92.24,89.22,94.19,15,10,15,7,6,18,15,13,15
6,6,P. Aubameyang,30,186.8,79.5,Gabon,Black,88,Right,Excellent,Excellent,Medium/Low,LW,75.73,89.07,76.59,79.39,79.55,74.04,64.24,82.05,93.5,95.42,76.21,86.86,69.48,15,14,15,8,9,18,15,15,17
7,7,H. Son,26,183.0,78.4,Korea Republic,Asian,87,Right,Masterful,Excellent,High/High,LW,81.12,85.55,83.14,88.64,85.19,70.03,70.04,86.92,85.55,89.39,86.27,89.24,75.77,17,12,18,12,7,17,16,14,17
8,8,Bernardo Silva,24,172.7,63.8,Portugal,Caucasian,87,Left,Good,Excellent,High/High,RW,84.89,78.09,85.52,91.61,84.48,66.98,74.21,91.51,85.16,78.24,93.54,84.58,92.45,18,10,15,13,9,17,17,13,17
9,9,L. Sané,23,183.1,74.7,Germany,Caucasian,86,Left,Good,Excellent,High/Medium,LW,83.05,81.24,80.01,88.44,83.08,82.34,64.24,85.48,92.58,95.75,85.73,81.08,79.55,15,14,15,12,6,16,16,14,16
10,10,A. Di María,31,180.2,69.0,Argentina,Caucasian,86,,Average,Masterful,High/Medium,RW,85.68,76.46,82.91,87.18,88.05,88.23,80.48,85.99,85.22,83.64,93.55,82.41,87.42,15,12,16,14,8,16,17,14,16
11,11,G. Bale,29,184.6,82.4,Wales,Caucasian,85,Left,Good,Excellent,Medium/Medium,RW,86.37,84.23,81.0,83.3,89.71,86.89,79.62,84.4,90.45,91.08,79.4,80.11,64.64,14,16,18,13,11,17,15,15,17
12,12,H. Ziyech,26,181.0,65.4,Morocco,Black,85,Left,Average,Excellent,High/Medium,RW,84.49,73.42,85.63,82.09,90.17,78.29,88.67,83.31,82.69,76.81,85.65,84.21,78.04,16,11,15,14,10,16,17,13,15
13,13,Koke,27,176.3,74.5,Spain,Caucasian,85,Right,Excellent,Good,High/High,RM,85.55,71.98,89.33,82.09,84.53,75.96,87.07,85.13,70.44,67.22,70.72,87.09,80.17,18,15,16,15,15,16,17,11,16
14,14,M. Depay,25,175.8,78.2,Netherlands,Black,84,Right,Good,Masterful,High/Low,LW,83.37,77.87,80.24,84.32,85.16,64.46,74.4,84.53,87.14,87.22,81.02,79.1,78.52,15,16,16,15,5,16,17,14,15
15,15,José Callejón,32,177.6,73.2,Spain,Caucasian,84,Right,Good,Good,High/High,RM,82.43,78.14,79.91,82.06,73.1,64.62,50.77,85.0,87.78,88.89,85.22,81.66,80.15,18,10,16,10,8,17,15,12,15
16,16,Douglas Costa,28,171.8,66.9,Brazil,Black,84,Left,Good,Masterful,High/Medium,RM,81.58,64.0,82.55,92.33,84.18,77.85,64.93,91.38,94.56,93.39,93.34,80.39,91.02,14,11,16,11,9,14,16,15,16
17,17,O. Dembélé,22,177.9,67.2,France,Black,84,Left,Masterful,Masterful,High/Medium,RW,83.99,78.63,82.39,88.63,81.51,64.46,75.58,84.77,93.83,92.55,89.03,78.06,83.31,13,10,15,10,7,15,15,15,16
18,18,S. Gnabry,23,174.5,75.0,Germany,Black,84,Right,Excellent,Excellent,High/Medium,RW,76.14,81.35,79.06,86.72,69.76,61.65,68.93,82.76,92.37,88.89,85.83,81.79,87.84,14,13,16,12,7,16,15,13,15
19,19,J. Brandt,23,184.8,82.6,Germany,Caucasian,84,Right,Excellent,Excellent,Medium/Medium,RM,78.33,78.87,86.44,86.38,76.65,58.97,80.5,86.41,77.63,86.44,80.83,82.67,78.24,15,14,16,8,7,16,16,10,16
20,20,K. Coman,23,179.3,75.0,France,Black,84,,Good,Excellent,Medium/Low,LW,79.3,75.87,78.23,86.78,83.54,69.87,71.76,87.03,93.82,90.72,88.33,84.39,83.31,13,12,14,7,4,16,15,14,15
